#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us1000h4l1,"262km NNE of Ndoi Island, Fiji",2018-09-30 10:52:23.010,-18.3604,-178.0633,550,6.7,Total,1,0,1012157,20701,0,0,0,0,0,0,0,0,2.0,0,2.0
us1000haa3,"118km E of Kimbe, Papua New Guinea",2018-10-10 20:48:20.100,-5.7012,151.2046,39,7,Total,1,0,1254727,834009,346131,79216,37557,13996,0,0,0,0,2.0,56693,134966.0
us1000hacw,"154km S of Severo-Kuril'sk, Russia",2018-10-10 23:16:02.130,49.2902,156.2968,20,6.5,Total,1,0,327,4638,1389,0,0,0,0,0,0,0,1.0,0,1.0
us1000hbkz,"269km NW of Ozernovskiy, Russia",2018-10-13 11:10:22.400,52.8549,153.2429,461,6.7,Total,1,0,5052,19291,0,0,0,0,0,0,0,0,1.0,0,1.0
us1000hclz,"170km E of Tadine, New Caledonia",2018-10-16 01:03:43.580,-21.7427,169.5217,17,6.5,Total,1,760,187863,170646,1415,0,0,0,0,0,0,0,2.0,0,2.0
us1000hfgn,"214km SW of Port Hardy, Canada",2018-10-22 05:39:39.590,49.2586,-129.4124,10,6.5,Total,1,0,28904,173531,2202,0,0,0,0,0,0,0,1.0,0,2.0
us1000hfgv,"202km SW of Port Hardy, Canada",2018-10-22 06:16:26.450,49.3346,-129.289,10,6.8,Total,1,0,37675,181774,17237,0,0,0,0,0,0,0,1.0,0,2.0
us1000hfh3,"227km SW of Port Hardy, Canada",2018-10-22 06:22:48.120,49.297,-129.7237,10,6.5,Total,1,0,31632,132713,1082,0,0,0,0,0,0,0,1.0,0,2.0
us1000hhb1,"32km SW of Mouzaki, Greece",2018-10-25 22:54:52.630,37.5203,20.5565,14,6.8,Total,1,30445,9626722,8706658,836029,135637,62811,12903,0,0,0,0,2.0,5144019,16877654.0
us1000hpim,"120km NW of Olonkinbyen, Svalbard and Jan Mayen",2018-11-09 01:49:40.050,71.6312,-11.2431,10,6.7,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us1000htm5,"241km SE of Lambasa, Fiji",2018-11-18 20:25:46.590,-17.8735,-178.9273,540,6.8,Total,1,0,772841,269135,0,0,0,0,0,0,0,0,2.0,0,2.0
ak018fcnsk91,"14km NNW of Anchorage, Alaska",2018-11-30 17:29:29.330,61.3464,-149.9552,46.7,7.1,Total,1,0,0,2,12219,39395,251657,144592,253,0,0,0,1.0,101351857,332537967.0
ak018fcnsk91,"14km NNW of Anchorage, Alaska",2018-11-30 17:29:29.330,61.3464,-149.9552,46.7,7.1,Total,2,0,0,4,9956,47456,117516,272335,726,0,0,0,1.0,197371204,647579835.0
us1000i2gt,"165km ESE of Tadine, New Caledonia",2018-12-05 04:18:08.420,-21.9496,169.4266,10,7.5,Total,1,0,0,98971,250564,14813,1275,0,0,0,0,0,2.0,19,45.0
us1000i2k0,"199km ESE of Tadine, New Caledonia",2018-12-05 06:43:04.130,-22.0629,169.7331,10,6.6,Total,1,0,13751,332559,9843,0,0,0,0,0,0,0,2.0,0,2.0
us2000isc8,"54km N of Bristol Island, South Sandwich Islands",2018-12-11 02:26:29.420,-58.5446,-26.3856,133,7.1,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us2000ivfw,"83km W of Nikol'skoye, Russia",2018-12-20 17:01:55.150,55.0999,164.6993,16.56,7.3,Total,1,0,0,7352,7579,86,612,3,0,0,0,0,1.0,260068,706096.0
us2000iyta,"96km ESE of Pondaguitan, Philippines",2018-12-29 03:39:09.740,5.8983,126.9209,60.21,7,Total,1,3907,16727958,15896746,10360195,121512,0,0,0,0,0,0,2.0,0,2.0
us2000j0ja,"90km W of Tarauaca, Brazil",2019-01-05 19:25:38.520,-8.144,-71.587,570.41,6.8,Total,1,323601,5894859,663964,0,0,0,0,0,0,0,0,2.0,0,2.0
us2000j0uj,"151km WNW of Tobelo, Indonesia",2019-01-06 17:27:18.980,2.258,126.758,43.21,6.6,Total,1,0,0,123847,600066,0,0,0,0,0,0,0,1.0,0,1.0
us2000j468,"94km NW of Sola, Vanuatu",2019-01-15 18:06:34.300,-13.336,166.8752,35,6.6,Total,1,0,0,0,11107,933,1128,0,0,0,0,0,2.0,4,10.0
us2000j6hy,"10km SSW of Coquimbo, Chile",2019-01-20 01:32:52.480,-30.0404,-71.3815,63,6.7,Total,1,0,0,4073,237645,112210,96632,306533,115617,0,0,37,86.0,701444041,1443669466.0
us2000j7dn,Prince Edward Islands region,2019-01-22 19:01:43.580,-43.1219,42.3568,13,6.7,Total,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0
us2000jbub,"5km SW of Puerto Madero, Mexico",2019-02-01 16:14:12.329,14.6802,-92.4527,66,6.7,Total,1,0,0,582466,11226396,1437043,755809,0,0,0,0,9,26.0,2297517,7538210.0
us2000jlfv,"111km ESE of Palora, Ecuador",2019-02-22 10:17:23.770,-2.1862,-77.0505,145,7.5,Total,1,0,0,51155,13629820,9448949,536119,108714,0,0,0,18,53.0,4269179,14007283.0
us1000j96d,"23km NNE of Azangaro, Peru",2019-03-01 08:50:42.591,-14.7131,-70.1546,267,7,Total,1,0,14827,2359719,4348776,0,0,0,0,0,0,0,2.0,0,2.0
us600032fg,"83km ENE of Bristol Island, South Sandwich Islands",2019-04-09 17:53:58.423,-58.6262,-25.304,38,6.5,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us700034xq,"98km SSW of Luwuk, Indonesia",2019-04-12 11:40:49.363,-1.8146,122.5798,15.46,6.8,Total,1,0,0,9634040,6803343,238045,141968,0,0,0,0,0,1.0,975,2407.0
us70003hqb,"33km NW of Bulolo, Papua New Guinea",2019-05-06 21:19:37.983,-6.9746,146.4494,146,7.1,Total,1,0,0,1174,1989854,1567428,1064943,447780,0,0,0,3,8.0,1813462,4317221.0
us70003kyy,"46km SSE of Namatanai, Papua New Guinea",2019-05-14 12:58:25.939,-4.051,152.5967,10,7.6,Total,1,265886,216949,284667,374842,89465,241364,45552,16,0,0,0,2.0,190708,454009.0
us60003sc0,"78km SE of Lagunas, Peru",2019-05-26 07:41:15.073,-5.8119,-75.2697,122.57,8,Total,1,0,0,1441199,21660986,5022260,1292498,293644,144039,0,0,70,160.0,298909517,980729569.0
us70003t2n,"32km S of La Libertad, El Salvador",2019-05-30 09:03:32.337,13.1994,-89.3056,57.92,6.6,Total,1,0,0,64363,8440265,2281697,1970942,0,0,0,0,8,21.0,20297325,66596029.0
us6000417i,"116km NE of L'Esperance Rock, New Zealand",2019-06-15 22:55:04.130,-30.6441,-178.0995,46,7.3,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us600044zz,"292km NW of Saumlaki, Indonesia",2019-06-24 02:53:39.830,-6.4078,129.1692,212,7.3,Total,1,0,0,1834,979479,24661,60,0,0,0,0,0,2.0,0,2.0
ci38457511,2019 Ridgecrest Earthquake Sequence,2019-07-06 03:19:53.040,35.7695,-117.5993333,8,7.1,Total,1,0,10642442,17902502,21545813,601968,1721,44915,200,0,0,0,2.0,34741961,113989239.0
us70004dz3,"134km WSW of Kota Ternate, Indonesia",2019-07-07 15:08:40.525,0.5126,126.1892,35,6.9,Total,1,0,0,39175,2964328,51,0,0,0,0,0,0,1.0,0,1.0
us70004jxe,"200km W of Broome, Australia",2019-07-14 05:39:23.420,-18.2242,120.3584,10,6.6,Total,1,0,0,41637,1508363,25575,323,0,0,0,0,0,2.0,15778,48805.0
us70004jyv,"93km NNE of Laiwui, Indonesia",2019-07-14 09:10:51.523,-0.5858,128.034,18.98,7.2,Total,1,0,6,1553562,1213859,57247,46356,2965,0,0,0,0,1.0,21593,53307.0
us60004xz4,"62km E of Lakatoro, Vanuatu",2019-07-31 15:02:33.853,-16.1985,167.9982,181,6.6,Total,1,0,0,0,244024,104,0,0,0,0,0,0,1.0,0,1.0
us60004yps,"95km SW of San Antonio, Chile",2019-08-01 18:28:07.270,-34.2364,-72.3102,25,6.8,Total,1,0,0,130239,10711294,174931,6890,0,0,0,0,0,2.0,1044,2149.0
us60004zhq,"106km WSW of Tugu Hilir, Indonesia",2019-08-02 12:03:27.001,-7.2822,104.7907,49,6.9,Total,1,0,0,1826684,38012752,720689,1727,0,0,0,0,0,1.0,11,27.0
